# Thai word frequencies extracted from Thai Wikipedia
# Source: https://huggingface.co/datasets/pythainlp/thai-wiki-dataset-v3
# License: CC BY-SA 4.0 — https://creativecommons.org/licenses/by-sa/4.0/
# Segmented with kham (https://github.com/preedep/kham)
# Articles processed: 500
# Format: word<TAB>count  (sorted by count descending)
# NOTE: Keep this file SEPARATE from tnc_freq.txt (which is CC0).
#       Do not merge — different licenses.
ขณะที่	133
เมล็ด	133
ศูนย์กลาง	132
ใกล้	132
ควร	131
ดั้งเดิม	131
กฎ	131
แหล่ง	131
เสรี	131
โปรตุเกส	131
ช่วงเวลา	130
คู่	130
นานาชาติ	130
สนธิสัญญา	130
มูลค่า	130
สุ	130
รอ	129
พวกเขา	129
นู	129
ทมิฬ	129
อุณหภูมิ	128
รวดเร็ว	128
กิจกรรม	128
รู้จัก	128
วิจัย	128
ชาย	128
ยอด	128
อ่อน	128
ขับร้อง	128
เชื่อ	127
เฮ	127
นิวตัน	127
ภาษาศาสตร์	127
อวกาศ	126
โดยตรง	126
การบริหาร	126
ดูแล	126
เทพ	126
โช	126
ครอบคลุม	125
สื่อ	125
กั	125
มอ	125
ผลิตภัณฑ์	125
กุมภาพันธ์	125
ทอ	124
ดิน	124
การทำงาน	124
รัฐประหาร	124
ความหมาย	124
เมตร	124
ตลอด	123
ต่อไป	123
กว้าง	123
สิ่งมีชีวิต	123
บางครั้ง	123
อิหร่าน	123
คาบสมุทร	123
น้ำมัน	123
นอก	122
พอ	122
อาจจะ	122
เข้าสู่	122
สุขภาพ	122
ร่วมกับ	122
การคำนวณ	122
แดง	121
กระทรวง	121
เฟ	121
ข้อ	121
ภูเขา	121
ทอง	121
น่า	121
พยางค์	121
ฟ้า	120
ภูมิอากาศ	120
เทคนิค	120
ว่าการ	120
เช่นเดียวกับ	120
ยะ	120
ตารางกิโลเมตร	120
คอมมิวนิสต์	120
จบ	120
ว์	120
ตัวละคร	120
อะ	120
ปัญญาประดิษฐ์	119
วาง	119
ซู	119
แผ่นดิน	119
เผ่า	119
ศรี	119
คอ	118
กลับมา	118
แถบ	118
หลังจากนั้น	118
ติ	118
การสอน	118
มู	118
หลวง	118
ดวงอาทิตย์	117
คุณสมบัติ	117
ตัวเอง	117
ป้องกัน	117
จอม	117
โย	116
ฮั	116
บี	116
การวิจัย	116
บริหาร	116
พลเอก	116
เขียว	116
แผ่นดินใหญ่	116
ฉะ	116
ไม้ดอก	116
คลอ	116
นับตั้งแต่	115
ที่สูง	115
ส่งผล	115
ความหลากหลาย	115
ชัดเจน	115
ระบอบ	115
โรมัน	115
ประมุข	115
ง่าย	114
หลักการ	114
กลีบ	114
กระจาย	113
อั	113
อิตาลี	113
การประชุม	113
ความขัดแย้ง	113
ทวีป	113
แปซิฟิก	113
ซั	113
ราชมงคล	113
ไฮโดรเจน	112
กรณี	112
นำเข้า	112
แรงงาน	112
เหรียญ	112
สังเกต	111
กรีก	111
กว้างขวาง	111
ความแตกต่าง	111
กล่าว	111
ตี	111
ประสาท	111
ตัวแปร	111
มีอำนาจ	111
เว	111
จัดอันดับ	110
แฟ	110
ระ	110
พรรคการเมือง	110
เฉลี่ย	110
ตัน	109
นิยาม	109
จักรพรรดิ	109
ท่าน	109
สึ	109
หลากหลาย	108
แบ	108
การนำ	108
รวบรวม	108
พระราชทาน	108
แบบจำลอง	107
ดำเนิน	107
หน่วยงาน	107
แก้ว	107
ค์	107
ทำหน้าที่	107
คนใน	107
จอมพล	107
เลี้ยง	107
เบงกอล	107
เครื่องมือ	106
นำมา	106
วิทยา	106
แพร่หลาย	106
พี	106
อุ	106
เดี่ยว	106
ชาวไทย	106
นั	106
มหาสมุทร	106
สมุทรปราการ	106
ปัจจัย	105
เรี	105
มีอิทธิพล	105
ตู	105
สมบูรณ์	104
แผ่น	104
รวมกัน	104
ถนน	104
สัน	104
เหล่า	104
สถานที่	103
เกิน	103
ลม	103
เจ	103
ฐาน	103
ไอน์สไตน์	103
สงครามโลกครั้งที่สอง	103
เก่า	103
พร้อม	102
พา	102
โซ	102
อาร์	102
ฤดูร้อน	102
ปรัชญา	101
ประสบความสำเร็จ	101
เป็นที่	101
เหลือ	101
เข้าถึง	101
อาทิ	101
บู	101
ไน	101
กุ	101
กองกำลัง	101
ศาล	101
วร	101
ลูก	101
ปลา	101
บรูไน	101
ดาวเคราะห์	100
คุณภาพ	100
จากนั้น	100
ตัด	100
ห์	100
นก	100
หัว	100
มณฑล	100
โกะ	100
เป็นครั้งแรก	99
ใกล้เคียง	99
การเงิน	99
การเรียน	99
ทั้งนี้	99
อิสระ	99
ติดต่อ	99
ขบวนการ	99
หญิง	99
ป่า	99
อันเป็น	98
เหล่านั้น	98
ไฟฟ้า	98
ยกเว้น	98
จิตวิทยา	98
ห้า	98
ในที่สุด	98
ตัวอักษร	98
สำนัก	98
ตอนเหนือ	98
ธรรม	98
สำนักพิมพ์	98
กิ่ง	98
สากล	97
ทราบ	97
ราคา	97
การประมวลผล	97
กำหนดให้	97
นักศึกษา	97
เนื้อ	97
มังกร	97
เผยแพร่	96
การปฏิวัติ	96
ดวง	96
รู้	96
นิตยสาร	96
เสีย	96
ชัน	96
แมน	96
สมบัติ	96
เปลี่ยนแปลง	96
ราชการ	96
บอก	96
เรือ	96
บังกลาเทศ	96
รับรอง	95
ปีก่อน	95
หลักฐาน	95
บ้าง	95
ใคร	95
เศรษฐศาสตร์	95
โฮ	95
ทั่ว	95
ก์	95
ดอกไม้	95
เนื้อเรื่อง	95
นาง	95
โดยที่	94
จริง	94
ยาก	94
เซนติเมตร	94
ดำ	94
บรรดา	94
ดร	94
ชัย	94
ที่ผ่านมา	94
จอมเกล้า	94
พลัง	94
น้ำหนัก	94
ลัทธิ	94
รัชกาล	94
ภาษาจีน	94
โดยเฉพาะอย่างยิ่ง	93
นิวเคลียร์	93
สัดส่วน	93
เกม	93
ตรวจสอบ	93
องค์	93
ครอบครัว	93
ปรับ	93
เรียง	93
อนิเมะ	93
วรรณยุกต์	93
เป็นที่รู้จัก	92
ขอ	92
ตามลำดับ	92
เย	92
ยก	92
บาน	92
เชื้อชาติ	92
ยาวนาน	92
ภาคใต้	92
คณะรัฐมนตรี	92
ศิษย์เก่า	92
เวลส์	92
กลีบดอก	92
สารประกอบ	92
เบริลเลียม	92
เป้าหมาย	91
ภาควิชา	91
แก้	91
ตก	91
บังคับ	91
ติดกับ	91
เสด็จ	91
เทียบ	91
เรื่องสั้น	91
มวล	90
กล่าวว่า	90
คำสั่ง	90
ราย	90
เพ	90
จอห์น	90
เรื่องราว	90
สวิส	90
อยุธยา	90
มหาราช	90
ไอร์แลนด์	90
คาบ	89
นาม	89
จี	89
มีชื่อ	89
ราก	89
เซี	89
ฝั่ง	89
สิบ	89
จีดีพี	89
ยกเลิก	89
เทียม	89
เก่าแก่	88
ขยายตัว	88
ผลกระทบ	88
เล็กน้อย	88
ค่อนข้าง	88
นอกจาก	88
เพิ่มเติม	88
ว่าด้วย	88
การเกษตร	88
คาด	88
อื่นๆ	88
ช่อ	88
อย่างไรก็ดี	87
มาถึง	87
ทำการ	87
วอ	87
ค้นหา	87
สถิติ	87
แม่	87
แค	87
บุ	87
เชื้อสาย	87
มติ	87
มลายู	87
กล้วยไม้	87
พฤติกรรม	86
ภาวะ	86
งานวิจัย	86
สหพันธ์	86
ประยุกต์ใช้	86
รหัส	86
พื้นเมือง	86
ติมอร์	86
นิวซีแลนด์	86
วิญญาณ	86
เห	86
ตั้งชื่อ	85
สนใจ	85
แตก	85
พิธี	85
ตัดสินใจ	85
ยึด	85
แร่	85
หนังสือพิมพ์	85
โอลิมปิก	85
ไท	85
กี	85
คุ	85
มีความหมาย	84
คำนวณ	84
ชิ้น	84
หนัก	84
ช่อง	84
ความมั่นคง	84
บล็อก	84
เหล็ก	84
สหภาพโซเวียต	84
ฤดูหนาว	84
น้อยกว่า	84
ร่างกาย	84
อาวุธ	84
ปากีสถาน	84
โมนาโก	84
พระเยซู	84
การสำรวจ	83
ก็ตาม	83
เป็นระบบ	83
การสื่อสาร	83
สำเร็จ	83
กล่าวถึง	83
วรรณคดี	83
ผู้พูด	83
เล้ง	83
ลิเทียม	83
ทางวิทยาศาสตร์	82
เร็ว	82
ทรัพยากร	82
เซลล์	82
ไล	82
เลอ	82
เจอ	82
งานเขียน	82
หลังจากที่	82
รุนแรง	82
ธนบุรี	82
ภาษามลายู	82
ระยะเวลา	81
หรือไม่	81
ปิด	81
ย้าย	81
พิ	81
เลข	81
ปกติ	81
ชู	81
มะ	81
ศาสนาพุทธ	81
โตะ	81
ลำต้น	81
เรื่อย	80
ฟิสิกส์	80
อาหรับ	80
ด้วยกัน	80
ผู้คน	80
ฉาย	80
โดดเด่น	80
ความช่วยเหลือ	80
มีค่า	80
บิดา	80
ทั่วประเทศ	80
สันติภาพ	80
เจริญ	80
เขตการปกครอง	80
วิวัฒนาการ	79
ที่เกิด	79
วิน	79
เว็บ	79
ระบบปฏิบัติการ	79
อาชีพ	79
ช่วยเหลือ	79
ความคิด	79
อุดมศึกษา	79
พรมแดน	79
นักท่องเที่ยว	79
อนุญาต	79
ต่างชาติ	79
วาระ	79
ครึ่ง	79
ขอบ	79
สกอตแลนด์	79
เป	79
ภาษาราชการ	79
เซอร์	78
เข้ากับ	78
แนวทาง	78
เอกสาร	78
พลเมือง	78
การปฏิรูป	78
เลือกตั้ง	78
เท่ากับ	78
บัก	78
แต่ง	78
อู	78
ข้าว	78
ชนชาติ	78
ดาบ	78
ตลอดจน	77
เหมือนกัน	77
ร้อย	77
รายการ	77
เปรียบเทียบ	77
จู	77
ชุมชน	77
วั	77
คำศัพท์	77
ธิ	77
แค่	77
เส้นทาง	77
ล่าสุด	77
เรียกร้อง	77
